condition,total,train,val,test,nine_label,three_label,is_malignant,is_rwanda_priority,tier,decision
neurofibromatosis,74,44,15,15,genodermatoses,non-neoplastic,False,False,Tier 2,EVALUATE
vitiligo,60,36,12,12,inflammatory,non-neoplastic,False,False,Tier 2,EVALUATE
keloid,44,26,9,9,inflammatory,non-neoplastic,False,True,Tier 3,EVALUATE
folliculitis,40,24,8,8,inflammatory,non-neoplastic,False,True,Tier 3,EVALUATE
sarcoidosis,50,30,10,10,inflammatory,non-neoplastic,False,False,Tier 3,GROUP
neutrophilic dermatoses,46,28,9,9,inflammatory,non-neoplastic,False,False,Tier 3,GROUP
scleroderma,45,27,9,9,inflammatory,non-neoplastic,False,False,Tier 3,GROUP
nematode infection,44,26,9,9,inflammatory,non-neoplastic,False,False,Tier 3,GROUP
papilomatosis confluentes and reticulate,42,25,8,9,inflammatory,non-neoplastic,False,False,Tier 3,GROUP
dariers disease,39,23,8,8,genodermatoses,non-neoplastic,False,False,Tier 3,GROUP
prurigo nodularis,38,23,8,7,benign epidermal,benign,False,False,Tier 3,GROUP
kaposi sarcoma,36,22,7,7,malignant dermal,malignant,True,False,Tier 3,GROUP
ehlers danlos syndrome,35,21,7,7,genodermatoses,non-neoplastic,False,False,Tier 3,GROUP
melanoma,32,19,6,7,malignant melanoma,malignant,True,False,Tier 4,GROUP/DOCUMENT
basal cell carcinoma,31,19,6,6,malignant epidermal,malignant,True,False,Tier 4,GROUP/DOCUMENT
mycosis fungoides,17,10,3,4,malignant cutaneous lymphoma,malignant,True,False,Tier 4,GROUP/DOCUMENT
actinic keratosis,12,7,2,3,malignant epidermal,malignant,True,False,Tier 4,GROUP/DOCUMENT
superficial spreading melanoma ssm,5,3,1,1,malignant melanoma,malignant,True,False,Tier 4,GROUP/DOCUMENT
malignant melanoma,4,2,1,1,malignant melanoma,malignant,True,False,Tier 4,GROUP/DOCUMENT
lentigo maligna,4,2,1,1,malignant melanoma,malignant,True,False,Tier 4,GROUP/DOCUMENT
solid cystic basal cell carcinoma,1,1,0,0,malignant epidermal,malignant,True,False,Tier 4,GROUP/DOCUMENT
