condition,total,train,val,test,nine_label,Clinical_Importance,Decision
squamous cell carcinoma,63,38,13,12,malignant epidermal,HIGH,INDEPENDENT
kaposi sarcoma,36,22,7,7,malignant dermal,HIGH,INDEPENDENT with caveats
melanoma,32,19,6,7,malignant melanoma,CRITICAL,INDEPENDENT with caveats
basal cell carcinoma,31,19,6,6,malignant epidermal,MODERATE,GROUP
mycosis fungoides,17,10,3,4,malignant cutaneous lymphoma,MODERATE,GROUP/DOCUMENT
actinic keratosis,12,7,2,3,malignant epidermal,MODERATE,GROUP/DOCUMENT
superficial spreading melanoma ssm,5,3,1,1,malignant melanoma,CRITICAL,GROUP/DOCUMENT
malignant melanoma,4,2,1,1,malignant melanoma,CRITICAL,GROUP/DOCUMENT
lentigo maligna,4,2,1,1,malignant melanoma,MODERATE,GROUP/DOCUMENT
solid cystic basal cell carcinoma,1,1,0,0,malignant epidermal,MODERATE,GROUP/DOCUMENT
basal cell carcinoma morpheiform,1,1,0,0,malignant epidermal,MODERATE,GROUP/DOCUMENT
