condition,current_samples,category,target_samples,augmentation_factor,augmented_samples
pityriasis rubra pilaris,127,Low Priority (≥50 samples),127,1,127
lichen planus,116,Low Priority (≥50 samples),116,1,116
lupus erythematosus,89,Low Priority (≥50 samples),89,1,89
psoriasis,85,Low Priority (≥50 samples),85,1,85
neurofibromatosis,74,Low Priority (≥50 samples),74,1,74
scabies,73,Low Priority (≥50 samples),73,1,73
squamous cell carcinoma,63,Low Priority (≥50 samples),63,1,63
vitiligo,60,Low Priority (≥50 samples),60,1,60
sarcoidosis,50,Low Priority (≥50 samples),50,1,50
neutrophilic dermatoses,46,Moderate (30-49 samples),50,2,92
scleroderma,45,Moderate (30-49 samples),50,2,90
keloid,44,Moderate (30-49 samples),50,2,88
nematode infection,44,Moderate (30-49 samples),50,2,88
papilomatosis confluentes and reticulate,42,Moderate (30-49 samples),50,2,84
folliculitis,40,Moderate (30-49 samples),50,2,80
dariers disease,39,Moderate (30-49 samples),50,2,78
prurigo nodularis,38,Moderate (30-49 samples),50,2,76
kaposi sarcoma,36,Moderate (30-49 samples),50,2,72
ehlers danlos syndrome,35,Moderate (30-49 samples),50,2,70
xeroderma pigmentosum,34,Moderate (30-49 samples),50,2,68
melanoma,32,Moderate (30-49 samples),50,2,64
lichen amyloidosis,31,Moderate (30-49 samples),50,2,62
basal cell carcinoma,31,Moderate (30-49 samples),50,2,62
acanthosis nigricans,28,High Priority (10-29 samples),30,2,56
pityriasis rosea,28,High Priority (10-29 samples),30,2,56
fixed eruptions,26,High Priority (10-29 samples),30,2,52
factitial dermatitis,25,High Priority (10-29 samples),30,2,50
eczema,24,High Priority (10-29 samples),30,2,48
allergic contact dermatitis,24,High Priority (10-29 samples),30,2,48
erythema multiforme,23,High Priority (10-29 samples),30,2,46
drug eruption,23,High Priority (10-29 samples),30,2,46
acne vulgaris,22,High Priority (10-29 samples),30,2,44
granuloma annulare,21,High Priority (10-29 samples),30,2,42
photodermatoses,20,High Priority (10-29 samples),30,2,40
tungiasis,19,High Priority (10-29 samples),30,2,38
lichen simplex,19,High Priority (10-29 samples),30,2,38
naevus comedonicus,18,High Priority (10-29 samples),30,2,36
acne,18,High Priority (10-29 samples),30,2,36
scleromyxedema,18,High Priority (10-29 samples),30,2,36
necrobiosis lipoidica,17,High Priority (10-29 samples),30,2,34
halo nevus,17,High Priority (10-29 samples),30,2,34
dermatomyositis,17,High Priority (10-29 samples),30,2,34
mycosis fungoides,17,High Priority (10-29 samples),30,2,34
tuberous sclerosis,16,High Priority (10-29 samples),30,2,32
ichthyosis vulgaris,15,High Priority (10-29 samples),30,2,30
porphyria,15,High Priority (10-29 samples),30,2,30
syringoma,14,High Priority (10-29 samples),30,3,42
porokeratosis actinic,14,High Priority (10-29 samples),30,3,42
stasis edema,13,High Priority (10-29 samples),30,3,39
erythema elevatum diutinum,13,High Priority (10-29 samples),30,3,39
epidermolysis bullosa,13,High Priority (10-29 samples),30,3,39
actinic keratosis,12,High Priority (10-29 samples),30,3,36
